College,Name,Jersey,Position,Class Year,Height,Weight,B/T,High School,Hometown,Season
University of Southern Mississippi,Cal Culpepper,22,RHP,R-Fr.,75,196,R/R,Clarkdale HS,"Meridian, Miss.",2025
University of Southern Mississippi,Coy Clements,23,C,Fr.,76,208,R/R,Oak Grove HS,"Hattiesburg, Miss.",2025
University of Southern Mississippi,Jackson Parker,24,LHP,R-So.,72,230,L/L,Stringer HS,"Stringer, Miss.",2025
University of Southern Mississippi,Braden Luke,25,INF,Sr.,70,230,L/R,West Lauderdale HS,"Collinsville, Miss.",2025
University of Southern Mississippi,Jace Norton,26,INF,R-Fr.,75,196,R/R,Auburn HS,"Auburn, Ala.",2025
University of Southern Mississippi,Micah Wascom,27,RHP,Fr.,72,202,R/R,Franklinton HS,"Bogalusa, La.",2025
University of Southern Mississippi,Caleb Hughes,28,RHP,Fr.,73,205,R/R,Etowah HS,"Woodstock, Ga.",2025
University of Southern Mississippi,Chandler Best,29,LHP,Sr.,72,222,L/L,McGill-Toolen HS,"Mobile, Ala.",2025
University of Southern Mississippi,Cole Richardson,30,RHP,Fr.,77,186,R/R,South Jones HS,"Ellisville, Miss.",2025
University of Southern Mississippi,Josh Och,32,RHP,So.,71,192,R/R,Chanhassen HS,"Victoria, Minn.",2025
University of Southern Mississippi,Logan Pratt,35,RHP,Fr.,77,218,R/R,Kirk Academy,"Grenada, Miss.",2025
University of Southern Mississippi,Tucker Stockman,36,C,R-So.,76,230,R/R,Athens HS,"Athens, Ala.",2025
University of Southern Mississippi,Carson Paetow,37,OF,Sr.,75,226,L/L,Vancleave HS,"Vancleave, Miss.",2025
University of Southern Mississippi,Drake Meeks,38,RHP,So.,76,210,R/R,Briarwood Christian HS,"Birmingham, Ala.",2025
University of Southern Mississippi,JW Armistead,39,RHP,Jr.,77,226,R/R,Mooreville HS,"Mooreville, Miss.",2025
University of Southern Mississippi,Teague Broadhead,41,RHP,Fr.,74,196,R/R,Bayside Academy,"Fairhope, Ala.",2025
University of Southern Mississippi,Ben Riley Flowers,42,LHP,Sr.,74,222,L/L,Saraland HS,"Saraland, Ala.",2025
University of Southern Mississippi,Landen Payne,43,RHP,Sr.,74,226,R/R,Saint Martin HS,"Ocean Springs, Miss.",2025
University of Southern Mississippi,Brooks Willoughby,45,LHP,Fr.,77,220,L/L,Warren Central HS,"Vicksburg, Miss.",2025
University of Southern Mississippi,McCarty English,47,RHP,So.,73,180,R/R,Ocean Springs HS,"Ocean Springs, Miss.",2025
University of Southern Mississippi,Chase Adams,48,LHP,Jr.,74,210,L/L,Normal University HS,"Normal, Ill.",2025
Troy University,Cason Eubanks,1,INF,So.,69,175,R/R,Pike Liberal Arts School,"Dothan, Ala.",2025
Troy University,Shane Lewis,2,OF,Sr.,74,193,B/R,Warren Central HS,"Vicksburg, Miss.",2025
Troy University,Tyler LeJeune,3,INF/OF,Jr.,70,172,L/R,Iota HS,"Iota, La.",2025
Troy University,Peyton Watts,4,INF,So.,73,175,L/R,Oxford HS,"Oxford, Ala.",2025
Troy University,Jimmy Janicki,5,C/INF,Fr.,76,231,R/R,Downers Grove North HS,"Downers Grove, Ill.",2025
Troy University,Reid Broussard,6,OF,So.,72,200,R/R,Live Oak HS,"Denham Springs, La.",2025
Troy University,Gavin Schrader,7,OF/INF,Jr.,76,215,L/L,Notre Dame HS,"Batavia, N.Y.",2025
Troy University,Cooper Smith,8,OF/INF,So.,71,193,R/R,Saint Xavier HS,"Louisville, Ky.",2025
Troy University,Brock Tapper,10,LHP/OF,Jr.,74,196,L/L,DeSoto Central HS,"Nesbit, Miss.",2025
Troy University,Colby Frieda,11,RHP,Sr.,75,226,R/R,Creekside HS,"St. John's, Fla.",2025
Troy University,Steven Meier,12,OF,Sr.,73,195,L/L,Southridge HS,"Kennewick, Wash.",2025
Troy University,Peryn Bland,13,INF,Fr.,73,183,R/R,Thompson HS,"Meridian, Miss.",2025
Troy University,Dillon Kuehl,14,OF,Jr.,72,213,L/L,Urbandale HS,"Urbandale, Iowa",2025
Troy University,Jakob Wax,15,INF,Sr.,73,175,R/R,Catholic HS,"Prairieville, La.",2025
Troy University,Jason Hawkins,16,C,Sr.,74,210,R/R,Plano Senior HS,"Allen, Texas",2025
Troy University,Brooks Bryan,17,C,Jr.,74,222,L/R,Opelika HS,"Opelika, Ala.",2025
Troy University,Noah Edders,18,RHP,Jr.,76,232,R/R,Downers Grove South HS,"Woodridge, Ill.",2025
Troy University,Kelly Crumpton,19,RHP,Sr.,75,182,R/R,Oxford HS,"Jackson, Miss.",2025
Troy University,Josh Dima,21,LHP,Sr.,74,196,L/L,Belleville Township HS,"Belleville, Ill.",2025
Troy University,Drew Nelson,22,LHP/INF,Jr.,71,210,L/L,Pike Liberal Arts School,"Troy, Ala.",2025
Troy University,Houston Markham,23,OF,Fr.,71,201,L/R,Pike Road HS,"Pike Road, Ala.",2025
Troy University,Adam Falinski,26,RHP,Sr.,75,221,R/R,Detroit Catholic Central HS,"Howell, Mich.",2025
Troy University,Grayson Stewart,27,RHP,Sr.,71,197,R/R,Providence Christian School,"Dothan, Ala.",2025
Troy University,Harrison Bowman,28,OF,So.,73,205,R/R,Apollo HS,"Owensboro, Ky.",2025
Troy University,Dylan King,29,RHP,R-Jr.,76,198,R/R,Manheim Township HS,"Leola, Pa.",2025
Troy University,Connor Burt,30,LHP,Sr.,75,204,L/L,Gulf Breeze HS,"Lithia, Fla.",2025
Troy University,Mike Bello,31,OF,Sr.,74,211,L/L,Pope John XXIII,"Oak Ridge, N.J.",2025
Troy University,Tyler Cook,32,C,Fr.,71,188,R/R,Holy Trinity HS,"Glenwood Landing, N.Y.",2025
Troy University,Ty McGraw,33,INF,Fr.,75,215,L/R,Gardendale HS,"Gardendale, Ala.",2025
Troy University,Blake Cavill,34,INF,Sr.,73,225,L/R,Holsworthy HS,"Sydney, Australia",2025
Troy University,Jay Dill,35,RHP,Sr.,78,240,R/R,Baylor School,"Dayton, Tenn.",2025
Troy University,Chase Cartron,36,LHP,Fr.,80,233,L/L,Huntsville HS,"Huntsville, Ala.",2025
